course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,subject,ingreso_por_curso
674350,Mastering Futures Options for Beginners - Your Top 5 Plays!,True,200,1185,10,33,Beginner Level,Business Finance,237000
439362,"Professional Options Trading, Simplified",True,200,631,49,21,All Levels,Business Finance,126200
42634,"Advanced Options Concepts - Probability, Greeks, Simulation",True,60,968,81,10,Intermediate Level,Business Finance,58080
494800,Accounting Basics - A Complete Study,True,180,1132,70,332,All Levels,Business Finance,203760
1222836,Case Studies in Macro Economics,True,50,114,1,22,Beginner Level,Business Finance,5700
990440,My Forex Strategy that win consistently over and over,True,200,204,23,9,Intermediate Level,Business Finance,40800
109988,Understand Banks & Financial Markets ,True,30,1548,24,34,All Levels,Business Finance,46440
815482,Stock Technical Analysis with Python,True,50,409,35,46,All Levels,Business Finance,20450
569436,How to Become an Accountant from scratch!,True,40,1169,7,15,Beginner Level,Business Finance,46760
803664,How to invest in Gold,True,50,249,14,39,Beginner Level,Business Finance,12450
213154,Automate Your Finances,True,20,690,17,21,Beginner Level,Business Finance,13800
484132,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),True,150,1340,4,272,All Levels,Business Finance,201000
640062,Accounting Made Easy: A Quick Guide to Financial Accounting,True,95,274,41,18,All Levels,Business Finance,26030
363404,Futures/Commodity Training (Basics),False,0,4863,202,6,Beginner Level,Business Finance,0
454724,Cost Accounting Marginal Costing Theory and Practice,True,20,1923,4,31,All Levels,Business Finance,38460
702278,The Big Volatility Short: The Best Trade On Wall Street!,True,200,224,35,16,All Levels,Business Finance,44800
323196,Master Finance in Three Hours,True,20,721,12,29,Beginner Level,Business Finance,14420
1225686,Learn Options on Futures for Hedging Options and Stocks,True,60,51,2,6,Expert Level,Business Finance,3060
443584,Option selling trading as income source. Beginners friendly,True,195,1276,46,61,All Levels,Business Finance,248820
1034074,Introduction to Value Growth Investing,False,0,2768,83,10,All Levels,Business Finance,0
1209694,Become A Forex Trader - Forex trading like a professional,False,0,1735,31,19,All Levels,Business Finance,0
418732,Hedge Fund Trading System,False,0,8985,584,12,All Levels,Business Finance,0
757450,Bulletproof Personal Finance: Expert Asset Allocation,True,45,1119,22,18,All Levels,Business Finance,50355
403468,Financial Accounting: The Complete Introductory Crash Course,True,100,2591,44,69,All Levels,Business Finance,259100
761808,Learn About Trading Options from a real wallstreet trader,True,20,1046,17,12,All Levels,Business Finance,20920
614510,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,True,20,2239,4,7,All Levels,Business Finance,44780
519776,How to Build a Massive Stock Portfolio from Zero!,True,200,1882,51,129,All Levels,Business Finance,376400
805336,Introductory Forex Trading Course,False,0,5931,158,15,Beginner Level,Business Finance,0
828254,Budgeting Hacks to Build Wealth!,False,0,4931,154,7,Beginner Level,Business Finance,0
471440,Accounting and Finance for Bankers - A Comprehensive Study,True,180,3056,9,316,All Levels,Business Finance,550080
478598,Forex Prep Academy for Beginners-Real trades!,True,75,1303,21,44,Beginner Level,Business Finance,97725
394636,Accounting for Deferred Taxes (Professional Course Level),True,25,2924,6,11,All Levels,Business Finance,73100
512004,TRADING TRUTHS,True,50,1405,14,27,All Levels,Business Finance,70250
1194426,The Binary Institute - Introductory Course in Binary Options,False,0,1121,12,6,All Levels,Business Finance,0
538540,Forex Trading vs Option Trading,True,95,1776,14,29,All Levels,Business Finance,168720
406922,How to Invest in Stocks + Billionaire Investing Tips,True,40,1643,18,19,All Levels,Business Finance,65720
743914,Value Investing For Beginners,True,100,801,48,25,Beginner Level,Business Finance,80100
419308,TRADING TACTICS,True,145,951,25,62,All Levels,Business Finance,137895
542028,MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,True,30,1278,33,23,Beginner Level,Business Finance,38340
482534,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,True,50,1184,15,37,All Levels,Business Finance,59200
716136,build a solid foundation for trading options,True,20,1115,8,8,All Levels,Business Finance,22300
737514,Forex Scam: Avoid the scam today,True,20,1086,27,28,All Levels,Business Finance,21720
471446,Cost Accounting Crash Course,True,20,3730,11,17,All Levels,Business Finance,74600
920424,Option Trading for Rookies: Basic Option Strategies,True,95,810,27,61,All Levels,Business Finance,76950
49886,Business Analysis:  Working with Use Cases,True,90,2338,224,5,All Levels,Business Finance,210420
292462,Learn to Raise the Funds You Need via Crowdfunding,True,20,3403,29,70,All Levels,Business Finance,68060
211874,Business finances,True,75,4695,7,20,Beginner Level,Business Finance,352125
754028,Financial Accounting - A Brief Introduction,False,0,17847,1440,17,Beginner Level,Business Finance,0
546924,Trading Economic Indicators - Complete Trading System,True,50,2692,25,25,Beginner Level,Business Finance,134600
105972,Foundation of Options Trading and Investing,True,20,6374,21,14,All Levels,Business Finance,127480
556068,Option Trading - How To Earn If You Can't Predict The Market,True,145,2305,19,30,All Levels,Business Finance,334225
1053272,The Financial Analyst Skills Training (FAST) course 2017,True,100,589,31,138,All Levels,Business Finance,58900
1273896,Covered Calls - Powerful Income Strategy for Stock Traders,True,60,22,0,8,Beginner Level,Business Finance,1320
317572,Accounting 1 Simplified for You,True,45,2490,95,13,Beginner Level,Business Finance,112050
738910,[Value Investing] Where White People Keep Their Money,True,200,2715,70,20,Expert Level,Business Finance,543000
1015274,How to Start Investing: Made Simple and Easy,True,200,1506,12,12,All Levels,Business Finance,301200
934574,Basics of Commerce A Complete Study,True,150,2197,4,105,All Levels,Business Finance,329550
1110470,The Passive Investing Blueprint - Build Wealth Passively,True,200,338,32,66,All Levels,Business Finance,67600
988804,7 Steps: Your Introduction to Trading,True,25,1076,22,176,Beginner Level,Business Finance,26900
529718,Forex - Elliott Wave Theory with Fibonacci. ,True,20,2769,54,32,All Levels,Business Finance,55380
998872,The Actuarial Profession: Basic Sciences and Principles,True,25,1531,6,7,Beginner Level,Business Finance,38275
1023670,Investing in stocks: Avoid stock market loss,True,125,1136,12,13,Beginner Level,Business Finance,142000
571394,QuickBooks Online: Complete Guide & Certification tips,True,50,2187,218,91,All Levels,Business Finance,109350
637176,Build Financial Models & Value Companies The Easy Way,True,20,1609,137,18,All Levels,Business Finance,32180
677802,Adventure Capital: How to pay off debt ,True,20,2895,56,14,Beginner Level,Business Finance,57900
1084642,Chart Patterns Trading Demystified,True,200,1023,8,29,All Levels,Business Finance,204600
739390,Financial Planning & Analysis: Building a Company's Budget,True,150,1988,137,27,All Levels,Business Finance,298200
1134864,Simple things you must know before start FOREX (OFFER),True,200,1053,20,15,Beginner Level,Business Finance,210600
489146,Practical Finance,True,20,4497,281,11,All Levels,Business Finance,89940
910650,Forex Trading: Comprehensive & Concise Forex Trading Course,True,160,2379,33,44,All Levels,Business Finance,380640
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,True,200,993,19,16,All Levels,Business Finance,198600
109622,Finance - Ratios Analysis & Interpretations,True,30,10338,52,41,Beginner Level,Business Finance,310140
881378,Forex Trading -  Learn to Trade From Scratch!,True,20,1423,103,37,Beginner Level,Business Finance,28460
474150,Technical Analysis tools for Stocks and Options trading,True,40,3555,89,11,All Levels,Business Finance,142200
1046724,Quantitative Trading Analysis with R,True,50,567,40,53,All Levels,Business Finance,28350
