title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,3–6 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,4.5,99,10,8646264,45.0,"(40.0, 50.0]",11.377518027960106,"(40.0, 50.0]"
Data Science: Visualization,171258,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,8391642,12.0,"(10.0, 20.0]",12.050926470361812,"(10.0, 20.0]"
Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,4,12380049,30.0,"(20.0, 30.0]",11.736476933075071,"(20.0, 30.0]"
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,English,English,4–5 hours per week,11 Weeks,FREE-Add a Verified Certificate for $169 USD,4.5,169,11,80378766,49.5,"(40.0, 50.0]",13.07236187986678,"(40.0, 50.0]"
Leaders of Learning,231131,Self-paced on your time,Harvard University,Introductory,Communication,English,"English, Español",2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,10,22881969,30.0,"(20.0, 30.0]",12.350739928330839,"(20.0, 30.0]"
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,2.5,99,4,5723586,10.0,"(0.0, 10.0]",10.964986239864137,"(0.0, 10.0]"
Data Science: Probability,135859,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,6657091,12.0,"(10.0, 20.0]",11.819372862200023,"(10.0, 20.0]"
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,Intermediate,Education & Teacher Training,English,"English, Español",1–2 hours per week,10 Weeks,FREE-Add a Verified Certificate for $70 USD,1.5,70,10,8218700,15.0,"(10.0, 20.0]",11.673427361624258,"(10.0, 20.0]"
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,Introductory,Medicine,English,English,2–5 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,8,7928118,28.0,"(20.0, 30.0]",11.290806388702206,"(20.0, 30.0]"
Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,Introductory,Education & Teacher Training,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $70 USD,3.0,70,6,7360220,18.0,"(10.0, 20.0]",11.563105139513311,"(10.0, 20.0]"
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,Introductory,Language,Italiano,Italiano,2–5 hours per week,12 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,12,8940638,42.0,"(40.0, 50.0]",12.114297211145978,"(40.0, 50.0]"
