title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Self-paced on your time,Tsinghua University,Introductory,Humanities,English,"English, 中文",1–3 hours per week,16 Weeks,FREE-Add a Verified Certificate for $49 USD,2.0,49,16,1043259,32.0,"(30.0, 40.0]",9.966039727193092,"(30.0, 40.0]"
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Self-paced on your time,Waseda University,Intermediate,Physics,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,631512,16.0,"(10.0, 20.0]",9.464051924856811,"(10.0, 20.0]"
Macroeconomic Diagnostics,23408,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $25 USD,7.0,25,6,585200,42.0,"(40.0, 50.0]",10.060833123259906,"(40.0, 50.0]"
BioStatistics,14937,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,English,5–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $79 USD,7.5,79,8,1180023,60.0,"(50.0, 60.0]",9.611596635310292,"(50.0, 60.0]"
Results-Based Project Management: Monitoring and Evaluation,32810,Self-paced on your time,Wits University,Intermediate,Business & Management,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $199 USD,3.5,199,8,6529190,28.0,"(20.0, 30.0]",10.398488625955148,"(20.0, 30.0]"
Estrategias y estilos de negociación,12639,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,English,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,1883211,26.0,"(20.0, 30.0]",9.444542550647126,"(20.0, 30.0]"
Políticas efectivas de desarrollo infantil,64387,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,"English, Español, Português",4–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,4.5,25,10,1609675,45.0,"(40.0, 50.0]",11.07266702836126,"(40.0, 50.0]"
Alzheimer’s Disease & Dementia Care,5763,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,5,282387,12.5,"(10.0, 20.0]",8.659213451436667,"(10.0, 20.0]"
Understanding Classroom Interaction,27114,Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,5,1328586,12.5,"(10.0, 20.0]",10.207805478639335,"(10.0, 20.0]"
Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,4,822987,16.0,"(10.0, 20.0]",9.025575833531088,"(10.0, 20.0]"
International Humanitarian Law,31419,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,English,4–12 hours per week,12 Weeks,FREE-Add a Verified Certificate for $150 USD,8.0,150,12,4712850,96.0,"(80.0, 100.0]",10.355168084441255,"(80.0, 100.0]"
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,Español,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,6,1230439,24.0,"(20.0, 30.0]",10.131061276129653,"(20.0, 30.0]"
Introduction to Astrophysics,20802,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,English,English,3–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $139 USD,3.5,139,7,2891478,24.5,"(20.0, 30.0]",9.942804414913079,"(20.0, 30.0]"
Epidemics I,10618,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,"English, 中文, 中文",2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $139 USD,2.5,139,5,1475902,12.5,"(10.0, 20.0]",9.270305953143616,"(10.0, 20.0]"
Introducción a la genética y la evolución,15297,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Biology & Life Sciences,Español,Español,2–3 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,3,749553,7.5,"(0.0, 10.0]",9.635412009723266,"(0.0, 10.0]"
Fundamentals of Macroeconomics,17820,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Economics & Finance,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $129 USD,2.5,129,6,2298780,15.0,"(10.0, 20.0]",9.788076701024801,"(10.0, 20.0]"
"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Self-paced on your time,University of Hong Kong,Introductory,Computer Science,English,"English, 中文",3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.5,199,6,4380189,21.0,"(20.0, 30.0]",9.999297607382104,"(20.0, 30.0]"
Molecular Biology - Part 2: Transcription and Transposition,18168,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,"English, 中文",4–8 hours per week,7 Weeks,FREE-Add a Verified Certificate for $99 USD,6.0,99,7,1798632,42.0,"(40.0, 50.0]",9.807417083785394,"(40.0, 50.0]"
"One Planet, One Ocean",12166,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,6,596134,30.0,"(20.0, 30.0]",9.40640045488065,"(20.0, 30.0]"
Reputation Management in a Digital World,39672,Self-paced on your time,Curtin University,Intermediate,Communication,English,English,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,6,3927528,21.0,"(20.0, 30.0]",10.58840092816897,"(20.0, 30.0]"
Google Ads: publicidad efectiva,12084,Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,Español,2–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,5,592116,15.0,"(10.0, 20.0]",9.399637542506563,"(10.0, 20.0]"
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,Español,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,3.5,50,4,733650,14.0,"(10.0, 20.0]",9.593764349207467,"(10.0, 20.0]"
Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced on your time,IBM,Introductory,Computer Science,English,English,7–14 hours per week,14 Weeks,FREE-Add a Verified Certificate for $99 USD,10.5,99,14,696168,147.0,"(100.0, inf]",8.858226439365012,"(100.0, inf]"
Japanese Business Management,14852,Self-paced on your time,Waseda University,Intermediate,Business & Management,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $129 USD,4.0,129,4,1915908,16.0,"(10.0, 20.0]",9.60588981529697,"(10.0, 20.0]"
Introduction to Cloud Computing,0,Self-paced on your time,IBM,Introductory,Computer Science,English,English,1–2 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,6,0,9.0,"(0.0, 10.0]",-inf,"(0.0, 10.0]"
Fundamentos de logística,7397,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,Español,4–8 hours per week,5 Weeks,FREE-Add a Verified Certificate for $29 USD,6.0,29,5,214513,30.0,"(20.0, 30.0]",8.908829791587868,"(20.0, 30.0]"
Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,English,English,4–6 hours per week,7 Weeks,FREE-Add a Verified Certificate for $50 USD,5.0,50,7,2288000,35.0,"(30.0, 40.0]",10.731165626053679,"(30.0, 40.0]"
Introduction to Biomedical Imaging,56485,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,English,4–5 hours per week,12 Weeks,FREE-Add a Verified Certificate for $99 USD,4.5,99,12,5592015,54.0,"(50.0, 60.0]",10.941730395161029,"(50.0, 60.0]"
Introducción a la programación en Java: empezando a programar,23321,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,Español,7–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,8.5,49,5,1142729,42.5,"(40.0, 50.0]",10.057109521191693,"(40.0, 50.0]"
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,"English, 中文",7–9 hours per week,5 Weeks,FREE-Add a Verified Certificate for $169 USD,8.0,169,5,1633385,40.0,"(30.0, 40.0]",9.17626639164243,"(30.0, 40.0]"
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,FREE-Add a Verified Certificate for $139 USD,2.0,139,15,6544537,30.0,"(20.0, 30.0]",10.759667280669499,"(20.0, 30.0]"
Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,1–2 hours per week,10 Weeks,FREE-Add a Verified Certificate for $149 USD,1.5,149,10,1295853,15.0,"(10.0, 20.0]",9.070733417589766,"(10.0, 20.0]"
SQL aplicado en la  ciencia de datos,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $39 USD,3.0,39,4,0,12.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,4,0,16.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Gender and Intersectionality,0,Self-paced on your time,The University of Iceland,Introductory,Humanities,English,English,2–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,3.5,50,6,0,21.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,English,8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $214 USD,9.0,214,7,2165252,63.0,"(60.0, 70.0]",9.222071294851881,"(60.0, 70.0]"
Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,English,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,5,746856,20.0,"(10.0, 20.0]",8.928507824313293,"(10.0, 20.0]"
Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,Español,4–6 hours per week,7 Weeks,FREE-Add a Verified Certificate for $59 USD,5.0,59,7,692719,35.0,"(30.0, 40.0]",9.370842268630211,"(30.0, 40.0]"
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,"English, Русский",2–4 hours per week,11 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,11,559874,33.0,"(30.0, 40.0]",9.343646739284408,"(30.0, 40.0]"
Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,7.0,50,6,1420200,42.0,"(40.0, 50.0]",10.254285259301984,"(40.0, 50.0]"
Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,Español,2–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,2.5,25,10,1194800,25.0,"(20.0, 30.0]",10.77461354045589,"(20.0, 30.0]"
Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,2511097,26.0,"(20.0, 30.0]",9.73228396147602,"(20.0, 30.0]"
"MathTrackX: Polynomials, Functions and Graphs",0,Self-paced on your time,University of Adelaide,Introductory,Math,English,English,3–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $79 USD,4.5,79,4,0,18.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,7.0,49,6,1732983,42.0,"(40.0, 50.0]",10.473534460960238,"(40.0, 50.0]"
Network and Security Foundations,7301,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,English,9–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $299.70 USD,9.5,299,8,2182999,76.0,"(70.0, 80.0]",8.895766604056085,"(70.0, 80.0]"
Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,Introductory,Environmental Studies,English,English,5–10 hours per week,3 Weeks,FREE-Add a Verified Certificate for $179 USD,7.5,179,3,1328001,22.5,"(20.0, 30.0]",8.911799556189527,"(20.0, 30.0]"
"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,No info available,8–10 hours per week,12 Weeks,FREE-Add a Verified Certificate for $249 USD,9.0,249,12,9035961,108.0,"(100.0, inf]",10.499269944026953,"(100.0, inf]"
Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,English,8–10 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,9.0,99,6,4195719,54.0,"(50.0, 60.0]",10.654455427579775,"(50.0, 60.0]"
Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,4–5 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,8,1090054,36.0,"(30.0, 40.0]",10.009917496151974,"(30.0, 40.0]"
Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,Español,4–5 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,3,345744,13.5,"(10.0, 20.0]",8.861633597686627,"(10.0, 20.0]"
Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,Intermediate,History,English,English,2–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,2.5,50,10,463700,25.0,"(20.0, 30.0]",9.134970064951407,"(20.0, 30.0]"
"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,6 Weeks,FREE-Add a Verified Certificate for $299 USD,10.0,299,6,4374071,60.0,"(50.0, 60.0]",9.590761138978086,"(50.0, 60.0]"
Negotiation Strategies and Styles,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,0,26.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,6,537089,24.0,"(20.0, 30.0]",9.302098797215724,"(20.0, 30.0]"
Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,"English, Español",4–6 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,8,900032,40.0,"(30.0, 40.0]",9.818365299119293,"(30.0, 40.0]"
Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,Español,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,4,343833,12.0,"(10.0, 20.0]",8.85609105525229,"(10.0, 20.0]"
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Intermediate,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,4,2796348,10.0,"(0.0, 10.0]",9.550520013385718,"(0.0, 10.0]"
Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,5.0,149,6,957474,30.0,"(20.0, 30.0]",8.768107539675803,"(20.0, 30.0]"
Human Rights Defenders,27338,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,English,4–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,4,1339562,18.0,"(10.0, 20.0]",10.216032954712599,"(10.0, 20.0]"
Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,6–8 hours per week,7 Weeks,FREE-Add a Verified Certificate for $79 USD,7.0,79,7,6915581,49.0,"(40.0, 50.0]",11.379839687330314,"(40.0, 50.0]"
Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,中文,English,3–5 hours per week,13 Weeks,FREE-Add a Verified Certificate for $139 USD,4.0,139,13,4271609,52.0,"(50.0, 60.0]",10.333027196085467,"(50.0, 60.0]"
Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,"English, 中文",8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $169 USD,9.0,169,7,1579643,63.0,"(60.0, 70.0]",9.142810715182584,"(60.0, 70.0]"
Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Intermediate,Medicine,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,6,302134,24.0,"(20.0, 30.0]",8.726805608446096,"(20.0, 30.0]"
Le management,6273,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,Français,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $149 USD,2.5,149,5,934677,12.5,"(10.0, 20.0]",8.744009988096744,"(10.0, 20.0]"
Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,Intermediate,Architecture,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,4.0,50,6,401600,24.0,"(20.0, 30.0]",8.99118884193151,"(20.0, 30.0]"
Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,4,2520733,10.0,"(0.0, 10.0]",9.446755465483632,"(0.0, 10.0]"
International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,Advanced,Law,English,English,6–8 hours per week,10 Weeks,FREE-Add a Verified Certificate for $150 USD,7.0,150,10,3500250,70.0,"(60.0, 70.0]",10.057709658383915,"(60.0, 70.0]"
Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,12 Weeks,FREE-Add a Verified Certificate for $249 USD,9.0,249,12,9169923,108.0,"(100.0, inf]",10.51398655078612,"(100.0, inf]"
Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Introductory,Humanities,English,English,8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,9.0,49,7,1400420,63.0,"(60.0, 70.0]",10.260462451483859,"(60.0, 70.0]"
Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Business & Management,Français,Français,3–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $150 USD,4.0,150,10,4504500,40.0,"(30.0, 40.0]",10.309952160977376,"(30.0, 40.0]"
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,English,English,10–11 hours per week,12 Weeks,FREE-Add a Verified Certificate for $250 USD,10.5,250,12,9510250,126.0,"(100.0, inf]",10.54641980443157,"(100.0, inf]"
Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,8,2580683,24.0,"(20.0, 30.0]",10.87174435243489,"(20.0, 30.0]"
PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,Introductory,History,English,English,2–5 hours per week,1 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,1,446586,3.5,"(0.0, 10.0]",9.117566971823829,"(0.0, 10.0]"
Information Technology Foundations,6388,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,English,9–10 hours per week,6 Weeks,FREE-Add a Verified Certificate for $399.60 USD,9.5,399,6,2548812,57.0,"(50.0, 60.0]",8.762176509334903,"(50.0, 60.0]"
Introducción a la Inteligencia Artificial de Watson,0,Self-paced on your time,IBM,Introductory,Computer Science,Español,Español,4–8 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,6.0,49,8,0,48.0,"(40.0, 50.0]",-inf,"(40.0, 50.0]"
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $125 USD,4.5,125,5,2001625,22.5,"(20.0, 30.0]",9.681156171322476,"(20.0, 30.0]"
Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $299 USD,9.0,299,8,6367504,72.0,"(70.0, 80.0]",9.966274540634894,"(70.0, 80.0]"
"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,3.0,149,6,0,18.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Intermediate,Math,English,English,6–8 hours per week,8 Weeks,FREE-Add a Verified Certificate for $159 USD,7.0,159,8,1072614,56.0,"(50.0, 60.0]",8.816705015621595,"(50.0, 60.0]"
Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,Español,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,6,0,21.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $79 USD,7.0,79,6,1584108,42.0,"(40.0, 50.0]",9.906084178383393,"(40.0, 50.0]"
Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,531944,16.0,"(10.0, 20.0]",9.292473201514705,"(10.0, 20.0]"
Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,0,26.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Automata Theory,0,Self-paced on your time,Stanford University,Advanced,Computer Science,English,English,5–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $129 USD,7.5,129,7,0,52.5,"(50.0, 60.0]",-inf,"(50.0, 60.0]"
¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,5,0,17.5,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,397782,16.0,"(10.0, 20.0]",9.001839097398843,"(10.0, 20.0]"
Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Intermediate,Law,English,English,2–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $25 USD,4.0,25,6,154225,24.0,"(20.0, 30.0]",8.72729202920964,"(20.0, 30.0]"
C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,915810,21.0,"(20.0, 30.0]",9.835743900449609,"(20.0, 30.0]"
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,Español,1–2 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,1.5,25,10,206250,15.0,"(10.0, 20.0]",9.017968479328726,"(10.0, 20.0]"
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,10,552475,30.0,"(20.0, 30.0]",9.330343164370879,"(20.0, 30.0]"
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,12,1208683,48.0,"(40.0, 50.0]",10.113221596940404,"(40.0, 50.0]"
Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,2.5,149,6,0,15.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Introductory,Science,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,5,578788,12.5,"(10.0, 20.0]",9.376871242863814,"(10.0, 20.0]"
Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Introductory,Math,English,English,4–6 hours per week,14 Weeks,FREE-Add a Verified Certificate for $50 USD,5.0,50,14,3091200,70.0,"(60.0, 70.0]",11.03204691757219,"(60.0, 70.0]"
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $5 USD,4.0,5,5,215625,20.0,"(10.0, 20.0]",10.67185815433366,"(10.0, 20.0]"
Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Introductory,Medicine,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,3.0,149,6,799683,18.0,"(10.0, 20.0]",8.588024372176829,"(10.0, 20.0]"
Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,Español,4–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,4.5,25,10,2010625,45.0,"(40.0, 50.0]",11.295080352107227,"(40.0, 50.0]"
Media Law,7253,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,English,8–10 hours per week,14 Weeks,FREE-Add a Verified Certificate for $249 USD,9.0,249,14,1805997,126.0,"(100.0, inf]",8.889170455363413,"(100.0, inf]"
