name,institution,course_id,media_rating,num_ratings
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,vital-signs,4.825754164790635,2221.0
Understanding Research Methods,University of London,research-methods,4.582453290008123,3693.0
IBM Customer Engagement Specialist Professional Certificate,IBM,ibm-customer-engagement-specialist,4.860377358490566,530.0
Introduction to Calculus,The University of Sydney,introduction-to-calculus,4.868745467730239,1379.0
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,camino-excelencia-gestion-proyectos,4.552770448548813,4548.0
Introduction to HTML5,University of Michigan,html,3.9951495553759093,3711.0
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",wine,4.277777777777778,198.0
Excel Skills for Business: Intermediate I,Macquarie University,excel-intermediate-1,4.913308341143392,6402.0
"Programming Foundations with JavaScript, HTML and CSS",Duke University,duke-programming-web,4.5482014388489205,6255.0
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,build-a-computer,4.924654268001907,2097.0
Food & Beverage Management,Università Bocconi,food-beverage-management,4.799682034976152,1887.0
Data Analysis with Python,IBM,data-analysis-with-python,4.457589285714286,4928.0
Project Planning,"University of California, Irvine",project-planning-1,4.35,60.0
Agile Meets Design Thinking,University of Virginia,uva-darden-getting-started-agile,4.789983844911147,1857.0
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,aws-fundamentals-going-cloud-native,4.686307519640853,5346.0
Construction Project Management,Columbia University,construction-project-management,4.79750903977501,2489.0
Introduction to Mathematical Thinking,Stanford University,mathematical-thinking,4.8089123867069485,1324.0
Everyday Parenting: The ABCs of Child Rearing,Yale University,everyday-parenting,4.928571428571429,1344.0
Introduction to Healthcare,Stanford University,intro-to-healthcare,4.0,6.0
Machine Learning with Python,IBM,machine-learning-with-python,4.515873015873016,4536.0
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,terrorism,4.741813602015113,1588.0
Data Management for Clinical Research,Vanderbilt University,clinical-data-management,4.76885043263288,809.0
Sustainable Fashion,Copenhagen Business School,sustainable-fashion,4.841269841269841,378.0
Foundations of Data Science: K-Means Clustering in Python,University of London,data-science-k-means-clustering-python,4.684210526315789,228.0
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,instructional-design-foundations-applications,3.6666666666666665,189.0
Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,enlinea,4.951219512195122,164.0
