name,institution,course_id,media_rating,num_ratings
Tricky American English Pronunciation,"University of California, Irvine",tricky-american-english-pronunciation,4.718637992831542,1674.0
Managing an Agile Team,University of Virginia,uva-darden-agile-team-management,4.700704225352113,568.0
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,international-law-in-action,4.751412429378531,531.0
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,competencias-lab,4.516908212560386,207.0
Getting started with TensorFlow 2,Imperial College London,getting-started-with-tensor-flow2,4.944055944055944,143.0
Geopolitics of Europe,Sciences Po,geopolitics-europe,3.8382978723404255,235.0
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,truthinourbones-osteoarchaeology-archaeology,4.713414634146342,328.0
Mathematics for Machine Learning: PCA,Imperial College London,pca-machine-learning,3.491108071135431,1462.0
Object Oriented Programming in Java,University of California San Diego,object-oriented-java,4.696917808219178,3504.0
Embedded Software and Hardware Architecture,University of Colorado Boulder,embedded-software-hardware,4.310344827586207,145.0
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,memoir-reader-relationship,4.386363636363637,132.0
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,mathematics-and-python,4.635852090032154,2488.0
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,aulaconstructivista,4.9118236472945895,1497.0
Hypothesis-Driven Development,University of Virginia,uva-darden-agile-testing,4.579470198675497,302.0
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,accounting-data-analytics-python,3.5,24.0
Introduction to Molecular Spectroscopy,University of Manchester   ,spectroscopy,4.646840148698884,1076.0
Managing as a Coach,"University of California, Davis",managing-as-a-coach,4.783088235294118,816.0
The fundamentals of hotel distribution,ESSEC Business School,hotel-distribution,,
A Crash Course in Data Science,Johns Hopkins University,data-science-course,,
